"filename", "language", "TypeScript", "Less", "HTML", "GraphQL", "CSS", "XML", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\analyzes-add-edit\analyzes.component.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 1, 80
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\analyzes-add-edit\analyzes.component.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 11, 24, 213
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\view\analyzes-view.component.html", "HTML", 0, 0, 40, 0, 0, 0, 0, 4, 44
"f:\VKR\app\frontend\src\app\modules\client-card\analyzes\view\analyzes-view.component.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 9, 14, 144
"f:\VKR\app\frontend\src\app\modules\client-card\client-card-routing.module.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 3, 82
"f:\VKR\app\frontend\src\app\modules\client-card\client-card.graphql", "GraphQL", 0, 0, 0, 297, 0, 0, 6, 24, 327
"f:\VKR\app\frontend\src\app\modules\client-card\client-card.module.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 5, 119
"f:\VKR\app\frontend\src\app\modules\client-card\client-card.service.ts", "TypeScript", 393, 0, 0, 0, 0, 0, 112, 51, 556
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.html", "HTML", 0, 0, 240, 0, 0, 0, 3, 9, 252
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 5, 22, 156
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.html", "HTML", 0, 0, 158, 0, 0, 0, 0, 4, 162
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 9, 14, 121
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\add-pet\pet-dialog.component.html", "HTML", 0, 0, 175, 0, 0, 0, 0, 14, 189
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\add-pet\pet-dialog.component.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 12, 126
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\client-dialog\client-dialog.component.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 7, 42
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\client-dialog\client-dialog.component.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 10, 93
"f:\VKR\app\frontend\src\app\modules\client-card\document-generate.service.ts", "TypeScript", 508, 0, 0, 0, 0, 0, 31, 66, 605
"f:\VKR\app\frontend\src\app\modules\client-card\models\analyzeType.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"f:\VKR\app\frontend\src\app\modules\client-card\models\documentsToGenerate.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"f:\VKR\app\frontend\src\app\modules\client-card\pet\pet.component.html", "HTML", 0, 0, 336, 0, 0, 0, 9, 13, 358
"f:\VKR\app\frontend\src\app\modules\client-card\pet\pet.component.ts", "TypeScript", 326, 0, 0, 0, 0, 0, 11, 35, 372
"f:\VKR\app\frontend\src\app\modules\client-card\reception\checkbox-list\checkbox-list.component.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 11, 46
"f:\VKR\app\frontend\src\app\modules\client-card\reception\checkbox-list\checkbox-list.template.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 1, 37
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new-and-edit\reception.component.html", "HTML", 0, 0, 393, 0, 0, 0, 6, 15, 414
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new-and-edit\reception.component.ts", "TypeScript", 288, 0, 0, 0, 0, 0, 10, 44, 342
