"filename", "language", "TypeScript", "HTML", "GraphQL", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\advanced-dynamic-filter.module.ts", "TypeScript", 46, 0, 0, 1, 4, 51
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-base.class.ts", "TypeScript", 54, 0, 0, 27, 4, 85
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-control.service.ts", "TypeScript", 35, 0, 0, 10, 5, 50
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-item.component.html", "HTML", 0, 97, 0, 7, 11, 115
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-item.component.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter.service.ts", "TypeScript", 212, 0, 0, 8, 39, 259
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-combobox.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-countbox.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-date.ts", "TypeScript", 4, 0, 0, 0, 3, 7
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-dateRange.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-dropdown.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-inputRange.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-textbox.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\index.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.component.html", "HTML", 0, 2, 0, 0, 0, 2
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.component.ts", "TypeScript", 1, 0, 0, 0, 1, 2
"f:\VKR\app\frontend\src\app\shared\components\file-input\file-input.component.html", "HTML", 0, 26, 0, 0, 4, 30
"f:\VKR\app\frontend\src\app\shared\components\file-input\file-input.component.ts", "TypeScript", 50, 0, 0, 0, 9, 59
"f:\VKR\app\frontend\src\app\shared\components\file-input\file-input.module.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.html", "HTML", 0, -2, 0, 2, 0, 0
"f:\VKR\app\frontend\src\app\shared\pipes\age-string.pipe.ts", "TypeScript", 63, 0, 0, 0, 3, 66
"f:\VKR\app\frontend\src\app\shared\pipes\index.ts", "TypeScript", 5, 0, 0, 0, 3, 8
"f:\VKR\app\frontend\src\graphql\generated.ts", "TypeScript", 181, 0, 0, 1, 31, 213
"Total", "-", 1581, -193, 79, -115, 133, 1485
