"filename", "language", "TypeScript", "Less", "HTML", "XML", "CSS", "GraphQL", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.html", "HTML", 0, 0, 215, 0, 0, 0, 0, 8, 223
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\modules\client-card\client\client-detail\client-detail.component.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 4, 15, 111
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.html", "HTML", 0, 0, 151, 0, 0, 0, 0, 4, 155
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\modules\client-card\client\client.component.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 7, 13, 112
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\add-pet\pet-dialog.component.html", "HTML", 0, 0, 175, 0, 0, 0, 0, 14, 189
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\add-pet\pet-dialog.component.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 12, 126
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\client-dialog\client-dialog.component.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 7, 42
"f:\VKR\app\frontend\src\app\modules\client-card\dialog\client-dialog\client-dialog.component.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 10, 93
"f:\VKR\app\frontend\src\app\modules\client-card\pet\pet.component.html", "HTML", 0, 0, 293, 0, 0, 0, 6, 14, 313
"f:\VKR\app\frontend\src\app\modules\client-card\pet\pet.component.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 4, 12, 113
"f:\VKR\app\frontend\src\app\modules\client-card\reception\checkbox-list\checkbox-list.component.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 11, 46
"f:\VKR\app\frontend\src\app\modules\client-card\reception\checkbox-list\checkbox-list.template.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 1, 37
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new\reception.component.html", "HTML", 0, 0, 366, 0, 0, 0, 6, 16, 388
"f:\VKR\app\frontend\src\app\modules\client-card\reception\new\reception.component.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 17, 44, 300
"f:\VKR\app\frontend\src\app\modules\client-card\reception\view\reception-view.component.html", "HTML", 0, 0, 237, 0, 0, 0, 6, 14, 257
"f:\VKR\app\frontend\src\app\modules\client-card\reception\view\reception-view.component.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 6, 16, 133
"f:\VKR\app\frontend\src\app\modules\goods\add-good\add-good.component.html", "HTML", 0, 0, 91, 0, 0, 0, 0, 10, 101
"f:\VKR\app\frontend\src\app\modules\goods\add-good\add-good.component.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 12, 94
"f:\VKR\app\frontend\src\app\modules\goods\goods-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\VKR\app\frontend\src\app\modules\goods\goods.component.html", "HTML", 0, 0, 288, 0, 0, 0, 13, 7, 308
"f:\VKR\app\frontend\src\app\modules\goods\goods.component.ts", "TypeScript", 259, 0, 0, 0, 0, 0, 5, 28, 292
"f:\VKR\app\frontend\src\app\modules\goods\goods.graphql", "GraphQL", 0, 0, 0, 0, 0, 56, 0, 3, 59
"f:\VKR\app\frontend\src\app\modules\goods\goods.module.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 1, 5, 48
"f:\VKR\app\frontend\src\app\modules\goods\goods.service.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 28, 11, 112
"f:\VKR\app\frontend\src\app\modules\landing\home\home-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\VKR\app\frontend\src\app\modules\landing\home\home.component.html", "HTML", 0, 0, 3, 0, 0, 0, 8, 9, 20
"f:\VKR\app\frontend\src\app\modules\landing\home\home.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\VKR\app\frontend\src\app\modules\landing\home\home.component.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 15, 10, 43
"f:\VKR\app\frontend\src\app\modules\landing\home\home.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"f:\VKR\app\frontend\src\app\modules\registry\registry-download\registry-download-form\registry-download-form.component.html", "HTML", 0, 0, 76, 0, 0, 0, 0, 11, 87
"f:\VKR\app\frontend\src\app\modules\registry\registry-download\registry-download-form\registry-download-form.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 9, 31
"f:\VKR\app\frontend\src\app\modules\registry\registry-download\registry-download.component.html", "HTML", 0, 0, 59, 0, 0, 0, 1, 4, 64
"f:\VKR\app\frontend\src\app\modules\registry\registry-download\registry-download.component.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 1, 9, 48
"f:\VKR\app\frontend\src\app\modules\registry\registry-object-card\registry-object-card.component.html", "HTML", 0, 0, 130, 0, 0, 0, 0, 15, 145
"f:\VKR\app\frontend\src\app\modules\registry\registry-object-card\registry-object-card.component.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 21, 76
"f:\VKR\app\frontend\src\app\modules\registry\registry-report\registry-report.component.html", "HTML", 0, 0, 111, 0, 0, 0, 1, 7, 119
"f:\VKR\app\frontend\src\app\modules\registry\registry-report\registry-report.component.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 29, 19, 189
"f:\VKR\app\frontend\src\app\modules\registry\registry-request\registry-request.component.html", "HTML", 0, 0, 63, 0, 0, 0, 1, 5, 69
"f:\VKR\app\frontend\src\app\modules\registry\registry-request\registry-request.component.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 1, 14, 87
"f:\VKR\app\frontend\src\app\modules\registry\registry-search\registry-search.component.html", "HTML", 0, 0, 149, 0, 0, 0, 4, 19, 172
"f:\VKR\app\frontend\src\app\modules\registry\registry-search\registry-search.component.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 147, 13, 215
"f:\VKR\app\frontend\src\app\modules\registry\registry.component.html", "HTML", 0, 0, 3, 0, 0, 0, 20, 2, 25
"f:\VKR\app\frontend\src\app\modules\registry\registry.component.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 8, 10, 33
"f:\VKR\app\frontend\src\app\modules\registry\registry.module.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 2, 8, 82
"f:\VKR\app\frontend\src\app\modules\registry\registry.resolvers.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 29, 8, 83
"f:\VKR\app\frontend\src\app\modules\registry\registry.routing.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 7, 5, 84
"f:\VKR\app\frontend\src\app\modules\registry\registry.service.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 39, 12, 112
"f:\VKR\app\frontend\src\app\modules\registry\registry.types.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"f:\VKR\app\frontend\src\app\modules\services\add-service\add-service.component.html", "HTML", 0, 0, 53, 0, 0, 0, 0, 8, 61
"f:\VKR\app\frontend\src\app\modules\services\add-service\add-service.component.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 12, 86
"f:\VKR\app\frontend\src\app\modules\services\services-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\VKR\app\frontend\src\app\modules\services\services.component.html", "HTML", 0, 0, 203, 0, 0, 0, 1, 7, 211
"f:\VKR\app\frontend\src\app\modules\services\services.component.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 4, 23, 186
"f:\VKR\app\frontend\src\app\modules\services\services.graphql", "GraphQL", 0, 0, 0, 0, 0, 50, 0, 3, 53
"f:\VKR\app\frontend\src\app\modules\services\services.module.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 1, 5, 46
